指标,数值
早盘平均收益,0.017705070687418938
尾盘平均收益,0.02146400522875817
收益差值(S1-S4),-0.0035799207355052013
95% CI下界,-0.008533452473105975
95% CI上界,0.001061264759543248
差异显著性,False
