指标,数值
样本量,11205
上涨概率,0.47193217313699243
上涨概率下界,0.4626999072214389
上涨概率上界,0.48118367839368836
平均收益,0.0014220778224007138
收益下界,0.0009341154350736277
收益上界,0.0018467327130745205
有效性评分,1
结论,弱有效
