Category,频率估计,Wilson下界,Wilson上界
涨停,0.23254401942926534,0.2127779107984523,0.25355489787319735
-3~0%,0.20947176684881602,0.19050599955235062,0.22978968478223358
0~3%,0.17729204614450517,0.15960426180678822,0.19648174911031002
-5~-3%,0.11596842744383729,0.10139057501778291,0.13233360542448364
跌幅<-7%(不含跌停),0.08682452944748027,0.07416883723012331,0.10140318615479745
3~5%,0.07710989678202793,0.06518774998918445,0.09100022104328771
5~7%,0.04432301153612629,0.03539866102095336,0.05536813332200479
跌停,0.0358227079538555,0.027872815786499687,0.045932932748065945
涨幅>7%(不含涨停),0.020643594414086218,0.014809881115978321,0.02870828561788639
